category,name,img,desc,lat,lon,coords
manhole,Empire City Subway ,/img/nyc/manholes/ecs.png,"Empire City Subway was formed in 1891 to construct and maintain tubes for telegraph and telephone cables ('subway' referring to anything under the ground, not just transportation networks). ECS now leases space in those conduits to telecommunications companies. They own approximately 11,000 manholes and 58 million feet of conduit. The New York Telephone Company (also known as Bell Atlantic New York) was ECS' original primary shareholder. Through the dark alchemy of mergers and acquisitions in the telecommunications industry, ECS is now a wholly owned subsidiary of Verizon.",,,
manhole,Time Warner Cable,/img/nyc/manholes/twc.png,"Time Warner Cable as we know it began its existence in 1992. They launched one of the first high speed cable internet services in 1996 before separating from its parent company, Time Warner, in 2009. Time Warner Cable's franchise agreement with the city of New York dates back to 1997, so presumably these manhole covers appeared sometime between 1997 and now. ",,,
manhole,Level 3 Communications,/img/nyc/manholes/l3.png,"Level 3 Communications began trading on NASAQ in 1998 and received its franchise to build a fiber optic network in New York City in 1999. They are a major Tier 1 network, which means that their network has a direct connection to every other network online without paying fees to do so. In 2012, Level 3 received a $411 million contract from the Department of Defense's Defense Information Systems Agency (DISA) to provide fiber cable and maintenance support to DoD networks. This is just something that is interesting to know. ",,,
manhole,Handholes,/img/nyc/manholes/handhole-verizon.png,"are structures set below ground that protect telecommunications cables, providing convenient access for splicing or pulling cable. You have probably walked by lots of pull boxes before and not really know what they do. ",,,
streetmarking,CATV,/img/nyc/mark/catv.png,What it sounds like—cable television.,,,
streetmarking,NXTG,/img/nyc/mark/nxtg.png,"NextG Networks received a franchise agreement in 2008 to install wireless infrastructure on city-owned poles for their distributed antenna system (DAS--see Distributed Antenna System in Cell Towers). The agreement also permits the company to install fiber below ground “for purposes of connecting Base Stations installed on Street Poles to one another or to a supporting telecommunications system.”  These fiber markings are often near street poles or emerging from street poles. In 2011, NextG was acquired by mobile infrastructure company Crown Castle International. ",,,
streetmarking,T,/img/nyc/mark/t.png,Telephone cables (presumably copper or coaxial.),,,
streetmarking,Shallow Cable,/img/nyc/mark/shallow.png,This means basically what it sounds like--the cable underground isn't very deep below the pavement. Possibly linked to microtrenching.,,,
streetmarking,ECS,/img/nyc/mark/ecs.png,"Sign of Empire City Subway ducts. which hold cables belonging to a variety of different companies for a variety of different uses (telephone, television, internet).",,,
streetmarking,RCN,/img/nyc/mark/rcn.png,"RCN is an internet service provider and a television cable provider. They're the 10th-largest ISP in the country. It is unclear if a cable marked ""RCN"" is actually a cable that belongs to RCN because of some mergers & acquisitions dark magic that happened over the last few years. Currently, RCN has a franchise agreement with the city as an ""open video system"". This is different from a cable provider, but the franchise agreements are pretty similar. In 2001, Con Edison announced that they were creating their own fiber optic network, managed by the holding company Con Edison Communications. In 2006, RCN acquired Con Edison Communications for $32 million. RCN was acquired by private equity firm Abry Partners in 2010, which repackaged and rebranded its metro area operations (which managed the former Con Ed fiber network) as Sidera Networks. Sidera merged with Lightower Networks in 2013, after both companies were acquired by Berkshire Partners in 2012. ",,,
